Id,Name,Tel,Add,Px,Py
241,許新旺陶瓷紀念博物館,886-2-26789571,新北市239鶯歌區尖山埔路81號,121.3478,24.9509
242,板橋車站,886-2-89691036,新北市220板橋區縣民大道2段7號,121.46327,25.01446
243,新北市政府行政大樓,886-2-29603456,新北市220板橋區中山路1段161號,121.46554,25.01228
244,開成殿(天公廟),886-2-24968395,新北市224瑞芳區永慶里8鄰烏勢巷152號之1,121.84664,25.10792
245,勸濟堂,886-2-24961273,新北市224瑞芳區金瓜石祈堂路53號,121.85965,25.11034
246,國際終戰和平紀念園區,886-2-24063270,新北市224瑞芳區金瓜石祈堂路40號旁,121.85833,25.11093
247,祈堂老街(金瓜石老街),886-2-24972250,新北市224瑞芳區金瓜石祈堂路,121.85853,25.10966
248,礦工宿舍,886-2-24974143,新北市224瑞芳區光復里柴寮路,121.82487,25.07917
249,貓公所籌備處(猴硐貓咪資訊站),886-2-24061059,新北市224瑞芳區光復里柴寮路343號,121.82747,25.088
250,三貂嶺車站,886-2-21910096,新北市224瑞芳區碩仁里魚寮路1號,121.82256,25.06554
251,牡丹車站,886-2-24932980,新北市227雙溪區牡丹里牡丹路159號,121.85199,25.05877
252,猴硐貓村,886-2-24971266,新北市224瑞芳區光復里,121.8268,25.0872
253,猴硐神社,886-2-24972250,新北市224瑞芳區侯硐路61號,121.82965,25.08809
254,不厭亭,886-2-24931111,新北市227雙溪區瑞雙公路,121.84753,25.08941
255,德興居(歐里人文咖啡),886-2-26644525,新北市222深坑區深坑街48號,121.6151,25.00182
256,新店渡船頭,886-2-29112281,新北市231新店區渡船頭,121.53676,24.95108
257,富貴角,886-2-86355100,新北市253石門區富貴角(石門區公所),121.53763,25.29828
258,富貴角公園,886-2-86355100,新北市253石門區富貴角公園,121.53839,25.29239
259,青山瀑布,886-2-26381721,新北市253石門區尖山湖,121.55677,25.239
260,鳶山公園,886-2-26711017,新北市237三峽區鳶山,121.35549,24.93127
261,新十八王公廟,886-2-26382453,新北市253石門區茂林村坪林52號,121.59484,25.27204
262,山宛然客家布袋戲團,886-9-32330003,新北市220板橋區縣民大道三段83號3樓(山宛然劇團辨公室),121.47554,25.02183
263,孝子山登山步道,886-2-24951510,新北市226平溪區孝子山,121.73945,25.02302
264,新北市政府景觀瞭望台,886-2-29603456,新北市220板橋區中山路一段161號32樓,121.46554,25.01224
265,火燄山系步道,886-2-22732000,新北市236土城區承天路,121.4438,24.94645
266,二格山系步道,886-2-29603456,新北市222深坑區二格山系步道,121.62383,24.96309
267,慈母峰登山步道,886-2-24951510,新北市226平溪區石底里靜安路二段,121.7382,25.0191
268,嶺腳寮山登山步道,886-2-24951510,新北市226平溪區嶺腳車站附近,121.74852,25.03137
269,大崎嶺登山步道,886-2-29603456,新北市222深坑區大崙腳,121.61342,24.99528
270,光明山稜線,886-2-29603456,新北市239鶯歌區光明山稜線,121.3684,24.97087
271,望古車站,886-2-24972033,新北市226平溪區望古車站,121.76375,25.03451
272,菁桐煤礦紀念公園,886-2-24951510,新北市226平溪區菁桐街50號,121.72446,25.02484
273,野柳地質公園,886-2-24922016,新北市207萬里區野柳村港東路167-1號,121.69047,25.2064
274,新北大都會公園 (二重疏洪道河濱公園),886-2-89699596,新北市241三重區疏洪東路一段859號,121.48169,25.05651
275,八里左岸公園,886-2-26102621,新北市249八里區觀海大道36號,121.43001,25.16083
276,辰光橋,886-2-29603456,新北市241三重區疏洪十六路,121.47998,25.05491
277,汐止星際遊戲場,886-2-89699596,新北市221汐止區長江街180號,121.66353,25.07787
278,石門洞,886-2-86355100,新北市253石門區崁仔腳,121.56843,25.2959
279,願景館,886-2-29603456,新北市242新莊區新北大道4段1號,121.45028,25.05992
280,楊三郎美術館,886-2-29270077,新北市234永和區博愛街7號,121.51675,25.01593
281,運煤橋,886-2-24972250,新北市224瑞芳區猴硐柴寮路42號(願景館)靠基隆河側,121.82783,25.08601
282,猴硐貓橋,886-2-24971266,新北市224瑞芳區柴寮路70號,121.82747,25.087
283,星光橋,886-2-29603456,新北市221汐止區鄉長路一段,121.66255,25.07645
284,滬尾櫻花大道,886-2-26218602,新北市251淡水區鄧公路,121.46148,25.16879
285,石碇淡蘭藝文館,886-2-26634381,新北市223石碇區石碇村石碇東街87號,121.65974,24.99095
286,蘆洲李宅古蹟-李友邦將軍紀念館,886-2-22838896,新北市247蘆洲區中正路243巷19號,121.46665,25.08539
287,碧華布街(三重布莊博物園區),886-2-29821108,新北市241三重區碧華街,121.4835,25.08119
288,碧華寺,886-2-28573300,新北市241三重區碧華街236號,121.48728,25.08257
289,嶺腳車站,886-2-24972033,新北市226平溪區嶺腳車站,121.7481,25.03012
290,新莊廟街商圈,886-2-29929891,新北市242新莊區新莊路(思源路、新泰路中間約1公里的菁華地帶),121.45069,25.0339
291,新莊廣福宮,886-2-55556364,新北市242新莊區新莊路150號,121.45526,25.0356
292,中港大排親水步道,886-2-29929891,新北市242新莊區中原路191號,121.45209,25.05421
